product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
0%,2%,15%,45%,38%,4.19,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721573.jpg,140 ratings,https://www.bookdepository.com/Fist-North-Star-Vol-2-Buronson/9781974721573
1%,10%,8%,31%,49%,4.17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524851453.jpg,71 ratings,https://www.bookdepository.com/Women-Are-Some-Kind-Magic-boxed-set-Amanda-Lovelace/9781524851453
4%,7%,16%,26%,46%,4.03,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449496364.jpg,"466,975 ratings",https://www.bookdepository.com/Milk-Honey-Rupi-Kaur/9781449474256
4%,5%,16%,27%,48%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7944/9781794484894.jpg,560 ratings,https://www.bookdepository.com/changing-with-tides-Shelby-Leigh/9781794484894
0%,2%,10%,34%,54%,4.4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2501/9781250162656.jpg,"18,616 ratings",https://www.bookdepository.com/Vow-Thieves-Mary-E-Pearson/9781250162656
1%,4%,14%,28%,53%,4.29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5272/9781527230958.jpg,194 ratings,https://www.bookdepository.com/Bloom-for-Yourself-II-April-Green/9781527230958
1%,5%,20%,32%,42%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0992/9781099275319.jpg,477 ratings,https://www.bookdepository.com/Losing-Myself-Brought-Me-Here-Jennae-Cecelia/9781099275319
1%,4%,18%,32%,45%,4.17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974717613.jpg,514 ratings,https://www.bookdepository.com/Dragon-Ball-Super-Vol-11-Akira-Toriyama/9781974717613
0%,1%,1%,9%,89%,4.85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444958775.jpg,96 ratings,https://www.bookdepository.com/Heartstopper-Colouring-Book-Alice-Oseman/9781444958775
0%,1%,11%,35%,52%,4.37,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506700137.jpg,"4,796 ratings",https://www.bookdepository.com/Avatar-Last-Airbender-Smoke-Shadow-Library-Edition-Gene-Luen-Yang/9781506700137
0%,1%,5%,29%,65%,4.58,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6126/9781612624228.jpg,"1,425 ratings",https://www.bookdepository.com/Vinland-Saga-3-Makoto-Yukimura/9781612624228
1%,3%,15%,29%,52%,4.29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974701445.jpg,880 ratings,https://www.bookdepository.com/Dragon-Ball-Super-Vol-4-Akira-Toriyama/9781974701445
1%,2%,14%,30%,52%,4.32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421596471.jpg,"1,212 ratings",https://www.bookdepository.com/Dragon-Ball-Super-Vol-2-Akira-Toriyama/9781421596471
1%,3%,14%,31%,51%,4.29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421599465.jpg,"1,007 ratings",https://www.bookdepository.com/Dragon-Ball-Super-Vol-3-Akira-Toriyama/9781421599465
0%,1%,17%,47%,35%,4.15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974720118.jpg,338 ratings,https://www.bookdepository.com/Asadora-Vol-3-Naoki-Urasawa/9781974720118
1%,3%,15%,33%,47%,4.21,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5712/9780571247059.jpg,"9,332 ratings",https://www.bookdepository.com/Selected-Poems-T-S-Eliot-T-S-Eliot/9780571247059
2%,5%,17%,31%,45%,4.13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449495497.jpg,"1,342 ratings",https://www.bookdepository.com/Worlds-You-Beau-Taplin/9781449495497
4%,7%,17%,26%,46%,4.04,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449490164.jpg,"4,310 ratings",https://www.bookdepository.com/Beautiful-Composition-Broken-r-h-Sin/9781449490164
4%,6%,18%,29%,43%,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449461072.jpg,"24,493 ratings",https://www.bookdepository.com/Lullabies-Lang-Leav/9781449461072
3%,6%,17%,30%,45%,4.07,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449480127.jpg,"16,459 ratings",https://www.bookdepository.com/Universe-Us-Lang-Leav/9781449480127
3%,5%,17%,29%,45%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449472399.jpg,"12,507 ratings",https://www.bookdepository.com/Memories-Lang-Leav/9781449472399
1%,4%,20%,43%,32%,4.02,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349417592.jpg,"289,645 ratings",https://www.bookdepository.com/Unhoneymooners-Christina-Lauren/9780349417592
0%,2%,15%,37%,46%,4.27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506701950.jpg,"3,671 ratings",https://www.bookdepository.com/Avatar-Last-Airbender-North-South-Library-Edition-Gene-Luen-Yang/9781506701950
0%,0%,10%,33%,57%,4.47,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974708130.jpg,175 ratings,https://www.bookdepository.com/JoJos-Bizarre-Adventure-Part-4-Diamond-Is-Unbreakable-Vol-7-Hirohiko-Araki/9781974708130
1%,1%,10%,29%,60%,4.47,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421578767.jpg,167 ratings,https://www.bookdepository.com/Dragon-Ball-3-1-Edition-Vol-10-Akira-Toriyama/9781421578767
0%,1%,9%,47%,43%,4.32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974722969.jpg,201 ratings,https://www.bookdepository.com/Asadora-Vol-4-Naoki-Urasawa/9781974722969
0%,0%,19%,44%,37%,4.19,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9747/9781974727902.jpg,43 ratings,https://www.bookdepository.com/Asadora-Vol-5-Naoki-Urasawa/9781974727902
0%,1%,12%,46%,40%,4.26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974717460.jpg,804 ratings,https://www.bookdepository.com/Asadora-Vol-1-Naoki-Urasawa/9781974717460
0%,1%,17%,47%,35%,4.15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974720118.jpg,338 ratings,https://www.bookdepository.com/Asadora-Vol-3-Naoki-Urasawa/9781974720118
0%,1%,7%,38%,54%,4.46,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6465/9781646512690.jpg,993 ratings,https://www.bookdepository.com/Witch-Hat-Atelier-8-Kamome-Shirahama/9781646512690
0%,1%,8%,36%,55%,4.46,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6323/9781632368058.jpg,"4,267 ratings",https://www.bookdepository.com/Witch-Hat-Atelier-3-Kamome-Shirahama/9781632368058
0%,0%,10%,43%,46%,4.35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974720101.jpg,483 ratings,https://www.bookdepository.com/Asadora-Vol-2-Naoki-Urasawa/9781974720101
0%,2%,17%,32%,50%,4.3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5788/9780578820330.jpg,60 ratings,https://www.bookdepository.com/One-More-Before-Goodbye-R-H-Sin/9780578820330
1%,2%,11%,31%,54%,4.36,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6797/9780679783220.jpg,"3,525 ratings",https://www.bookdepository.com/Essential-Writings-Ralph-Waldo-Emerson-Ralph-Waldo-Emerson/9780679783220
0%,12%,12%,25%,50%,4.12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0907/9781090707697.jpg,8 ratings,https://www.bookdepository.com/Words-Covered-Salt-Caitlin-Platt/9781090707697
1%,5%,22%,36%,36%,4.01,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/9855/9780985552701.jpg,146 ratings,https://www.bookdepository.com/Im-Rising-Michelle-G-Stradford/9780985552701
2%,5%,16%,29%,48%,4.15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1996/9780199642922.jpg,"32,326 ratings",https://www.bookdepository.com/Waves-Virginia-Woolf/9781840224108
0%,2%,9%,26%,63%,4.49,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9437/9781943735426.jpg,"2,657 ratings",https://www.bookdepository.com/Lord-Butterflies-Andrea-Gibson/9781943735426
1%,4%,20%,41%,33%,4.01,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4749/9781474933612.jpg,"3,997 ratings",https://www.bookdepository.com/Are-We-All-Lemmings-Snowflakes-Holly-Bourne/9781474933612
0%,1%,11%,35%,52%,4.37,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506721682.jpg,"4,768 ratings",https://www.bookdepository.com/Avatar-Last-Airbender-Smoke-Shadow-Omnibus-Gene-Luen-Yang/9781506721682
0%,0%,7%,33%,60%,4.53,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421599694.jpg,306 ratings,https://www.bookdepository.com/20th-Century-Boys-Perfect-Edition-Vol-9-Naoki-Urasawa/9781421599694
0%,0%,6%,38%,56%,4.5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974703906.jpg,64 ratings,https://www.bookdepository.com/Dragon-Quest-Illustrations-30th-Anniversary-Edition-Akira-Toriyama/9781974703906
1%,0%,10%,27%,61%,4.46,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421578781.jpg,153 ratings,https://www.bookdepository.com/Dragon-Ball-3-1-Edition-Vol-12-Akira-Toriyama/9781421578781
1%,3%,11%,32%,53%,4.32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501173219.jpg,"1,222,102 ratings",https://www.bookdepository.com/All-Light-We-Cannot-See-Anthony-Doerr/9780008138301
0%,0%,7%,33%,60%,4.52,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6465/9781646510788.jpg,"1,860 ratings",https://www.bookdepository.com/Witch-Hat-Atelier-7-Kamone-Shirahama/9781646510788
1%,5%,18%,36%,40%,4.1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524860448.jpg,418 ratings,https://www.bookdepository.com/Truth-You-Iain-S-Thomas/9781524860448
0%,0%,13%,40%,47%,4.34,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974719976.jpg,113 ratings,https://www.bookdepository.com/Golden-Kamuy-Vol-21-Satoru-Noda/9781974719976
0%,0%,7%,33%,60%,4.52,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6465/9781646510788.jpg,"1,860 ratings",https://www.bookdepository.com/Witch-Hat-Atelier-7-Kamone-Shirahama/9781646510788
1%,1%,18%,39%,41%,4.16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812974607.jpg,891 ratings,https://www.bookdepository.com/Essential-Feminist-Reader-Estelle-Freedman/9780812974607
3%,4%,12%,27%,54%,4.27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4521/9781452184579.jpg,"3,435,307 ratings",https://www.bookdepository.com/Pride-Prejudice-Jane-Austen/9781452184579
2%,4%,15%,35%,43%,4.12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7848/9781784874872.jpg,"1,668,293 ratings",https://www.bookdepository.com/Handmaids-Tale-Margaret-Atwood/9781784874872
0%,0%,8%,40%,51%,4.42,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6460/9781646090723.jpg,752 ratings,https://www.bookdepository.com/Apothecary-Diaries-3-Touco-Nekokurage/9781646090723
1%,2%,15%,34%,49%,4.29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506701295.jpg,"3,496 ratings",https://www.bookdepository.com/Avatar-Last-Airbender-North-South-Part-Two-Gene-Luen-Yang/9781506701295
0%,0%,5%,34%,62%,4.57,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4215/9781421599700.jpg,281 ratings,https://www.bookdepository.com/20th-Century-Boys-Perfect-Edition-Vol-10-Naoki-Urasawa/9781421599700
10%,2%,10%,37%,41%,3.98,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349428383.jpg,41 ratings,https://www.bookdepository.com/Annihilation-Road-Christine-Feehan/9780349428383
0%,0%,0%,0%,100%,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506726618.jpg,1 rating,https://www.bookdepository.com/Avatar-Last-Airbender-Chibis-1-aangs-Unfreezing-Day-Keigh-Leigh-Miller/9781506726618
1%,2%,15%,36%,47%,4.26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1996/9780199675340.jpg,"8,740 ratings",https://www.bookdepository.com/Poetic-Edda-Carolyne-Larrington/9780199675340
0%,2%,15%,37%,46%,4.27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506721675.jpg,"3,671 ratings",https://www.bookdepository.com/Avatar-Last-Airbender-north-South-Omnibus-Gene-Luen-Yang/9781506721675
