product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
422,249,535,973,10,545,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4bdbeefe000064000505706d/198x149.png,12,724,https://www.trustpilot.com/review/www.rubylane.com
0,0,0,0,24,4.7,//s3-eu-west-1.amazonaws.com/tpd/logos/605c7da75931b20001471286/0x0.png,24,https://www.trustpilot.com/review/guerillajewelry.com
133,19,14,27,1,183,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5f1ea17f76dbca0001ba8a50/0x0.png,1,376,https://www.trustpilot.com/review/www.magaljewelry.com
1,1,2,2,59,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d92514797c28400015e159e/198x149.png,65,https://www.trustpilot.com/review/coomi.com
0,0,0,0,20,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5fdbdc65dbee30000157f291/198x149.png,20,https://www.trustpilot.com/review/ashivdiamonds.com
0,0,0,1,20,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/50204d270000640005193650/198x149.png,21,https://www.trustpilot.com/review/dreamstone.com
0,0,0,0,17,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/6165dea42471ea001dcb049c/0x0.png,17,https://www.trustpilot.com/review/naturalfacet.com
0,0,0,0,20,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5ee1ae099c499500016573a8/0x0.png,20,https://www.trustpilot.com/review/twiceshyshop.com
0,0,0,0,20,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5f5113fe8775d4000195dc0c/0x0.png,20,https://www.trustpilot.com/review/theeternalfit.com
0,0,0,1,21,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5368ee4c000064000578b39e/198x149.png,22,https://www.trustpilot.com/review/shafteldiamonds.com
1,0,0,0,27,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/611b1ce5ff4b0d0020966d7f/0x0.png,28,https://www.trustpilot.com/review/luxevvsjewelers.com
0,0,0,0,21,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5d5447b09e3b5a00014b0b06/0x0.png,21,https://www.trustpilot.com/review/bombshellboutiquekc.com
0,0,1,1,22,4.6,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd16662cc9b3c0001407dab/198x149.png,24,https://www.trustpilot.com/review/dellafora.com
0,0,0,1,23,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5f88c67a60a97a000131e590/0x0.png,24,https://www.trustpilot.com/review/misayohouse.com
0,0,0,0,17,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/616f17bfe7bc5717c100244e/0x0.png,17,https://www.trustpilot.com/review/extrabrilliant.com
0,0,0,3,26,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/616ebe58d3c58dc9f9f9b853/0x0.png,29,https://www.trustpilot.com/review/poshandpepper.com
0,1,0,2,26,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5f8efb6073751f000195d512/0x0.png,29,https://www.trustpilot.com/review/iokajewelry.com
0,1,0,0,28,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/597b5dee0000ff0005a7a197/0x0.png,29,https://www.trustpilot.com/review/we-silver-jewels.com
1,0,1,2,34,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5ea9a683c53c2c000106ceb8/0x0.png,38,https://www.trustpilot.com/review/misahara.com
0,0,0,1,22,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5c7f5c23854ed600010ed923/0x0.png,23,https://www.trustpilot.com/review/www.adrianafj.com
2,0,0,6,46,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/607993e952f2520001a5f1ba/0x0.png,54,https://www.trustpilot.com/review/minterjewels.com
0,1,2,2,51,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/5c684c4a04ed0b0001eca091/0x0.png,56,https://www.trustpilot.com/review/beadifulbaby.com
1,0,0,9,49,4.6,//s3-eu-west-1.amazonaws.com/tpd/logos/608b0ca1dd75dc00016489eb/0x0.png,59,https://www.trustpilot.com/review/casvaliano.com
433,95,305,668,4,388,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/5df0c01ab2bf6c0001ef1652/0x0.png,5,889,https://www.trustpilot.com/review/mintandlily.com
693,393,494,700,8,259,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/49179722000064000503e4d3/198x149.png,10,539,https://www.trustpilot.com/review/www.reeds.com
0,0,0,1,17,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/58ab35a80000ff00059d0b9d/0x0.png,18,https://www.trustpilot.com/review/tickortock.com
0,0,0,0,19,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cdcf626baa2170001d2549a/198x149.png,19,https://www.trustpilot.com/review/pavatipearls.com
0,1,0,0,19,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/6149df9684b31d001d866286/0x0.png,20,https://www.trustpilot.com/review/whatafind4u.com
48,17,28,52,634,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/59d3afc20000ff0005acb303/198x149.png,779,https://www.trustpilot.com/review/birkatelyon.com
1,1,0,0,30,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/612d3b3fe85454001d6d8c9f/0x0.png,32,https://www.trustpilot.com/review/johnmedeiros.com
1,1,0,1,33,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/576a48560000ff000591799b/198x149.png,36,https://www.trustpilot.com/review/timelesspearl.com
0,0,1,1,19,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/60fc449a8d1e8a0001982c92/198x149.png,21,https://www.trustpilot.com/review/engagejeweler.com
1,0,0,0,22,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/5f5058ac8327880001e5f0a1/0x0.png,23,https://www.trustpilot.com/review/blingschlingers.com
2,0,0,4,30,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/6197e095bccfef802fa929af/0x0.png,36,https://www.trustpilot.com/review/vanessaflair.com
2,0,0,4,32,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/5fc9cd64c9a213000101a535/0x0.png,38,https://www.trustpilot.com/review/www.diamoda.com
3,0,4,5,56,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd083dbb84d0a0001e4e874/198x149.png,68,https://www.trustpilot.com/review/puregemsjewels.com
0,0,0,1,18,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/60a6ab4be0a0f900018ec8b0/0x0.png,19,https://www.trustpilot.com/review/wildlotusbrand.com
3,0,1,6,28,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/4e6e2f64000064000510fb3a/0x0.png,38,https://www.trustpilot.com/review/www.golddirect.com
7,2,1,8,111,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5fbfed8f2bf7fb00015d74f2/198x149.png,129,https://www.trustpilot.com/review/ottasilver.com
27,4,3,12,232,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd96f41334459000156a014/198x149.png,278,https://www.trustpilot.com/review/nominalx.com
62,21,16,34,527,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/5cbd744b001a030001a823cb/0x0.png,660,https://www.trustpilot.com/review/arialattner.com
29,5,15,97,516,4.5,//s3-eu-west-1.amazonaws.com/tpd/logos/5dc45b5341615b00012f5141/0x0.png,662,https://www.trustpilot.com/review/doradofashion.com
34,14,15,22,312,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cb8d8bafe9c9600014260f3/198x149.png,397,https://www.trustpilot.com/review/taijewelry.com
0,0,0,3,15,4.5,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5178a252000064000527f908/198x149.png,18,https://www.trustpilot.com/review/sitaracollections.com
11,3,6,10,116,4.4,//s3-eu-west-1.amazonaws.com/tpd/screenshots/590c17af0000ff0005a1d82f/198x149.png,146,https://www.trustpilot.com/review/bbbgem.com
13,4,8,6,71,4.4,//s3-eu-west-1.amazonaws.com/tpd/screenshots/531ab1c000006400057859c3/198x149.png,102,https://www.trustpilot.com/review/diamondveneer.com
16,8,4,6,105,4.4,https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/default-business-unit-image-118x89.svg,139,https://www.trustpilot.com/review/bryananthonys.com
4,0,0,2,30,4.4,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5f49257b4f4f74000187bcaf/198x149.png,36,https://www.trustpilot.com/review/theguushop.com
14,2,3,7,128,4.4,//s3-eu-west-1.amazonaws.com/tpd/logos/5f95a15c433bcb00017bb661/0x0.png,154,https://www.trustpilot.com/review/chromeworld.jp
24,8,7,28,211,4.4,//s3-eu-west-1.amazonaws.com/tpd/logos/6113fae6b264bb001d96576c/0x0.png,278,https://www.trustpilot.com/review/caratlane.us
9,1,7,4,97,4.4,//s3-eu-west-1.amazonaws.com/tpd/logos/5ee85eea35f683000115a7a5/0x0.png,118,https://www.trustpilot.com/review/www.mayors.com
