product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
25%,0%,0%,0%,75%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/41nP6E7u0nL.__AC_SX300_SY300_QL70_ML2_.jpg,9,https://www.amazon.com/HIFIMAN-Full-Size-Audiophile-Adjustable-Comfortable/dp/B07H7GSDYV,AMZN-34
0%,0%,0%,0%,100%,"5.0""",https://m.media-amazon.com/images/I/61la+nnTpMS._AC_SY300_SX300_.jpg,1,https://www.amazon.com/Focal-Utopia-Open-back-Circumaural-Headphones/dp/B0977F53MT,AMZN-35
0%,16%,15%,55%,14%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/51kGOdJB5-L.__AC_SX300_SY300_QL70_ML2_.jpg,12,https://www.amazon.com/HIFIMAN-HE1000-V2-Magnetic-Headphone/dp/B01I50644C,AMZN-36
15%,7%,12%,12%,54%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/71PqprtgO6L.__AC_SX300_SY300_QL70_ML2_.jpg,80,https://www.amazon.com/Focal-Open-Back-Over-Ear-Headphone/dp/B01H2NDPGI,AMZN-37
0%,0%,12%,12%,76%,"4.6""",https://images-na.ssl-images-amazon.com/images/I/61cCNGYeOQL.__AC_SX300_SY300_QL70_ML2_.jpg,15,https://www.amazon.com/Drop-MrSpeakers-Ether-CX-Closed-Back/dp/B082BMXYV8,AMZN-38
5%,3%,5%,11%,77%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/41xoaqsKi7L.__AC_SY300_SX300_QL70_ML2_.jpg,1014,https://www.amazon.com/Sony-MDR-XB500-Diaphragm-Driver-Headphones/dp/B001RB24S2,AMZN-39
0%,0%,0%,100%,0%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71pjlDimivL.__AC_SX300_SY300_QL70_ML2_.jpg,2,https://www.amazon.com/Audeze-Carbon-Electrostatic-Headphones-Open-Back/dp/B09BNWQP2N,AMZN-40
4%,13%,13%,23%,47%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/61j339YZdiL.__AC_SX300_SY300_QL70_ML2_.jpg,65,https://www.amazon.com/Yamaha-YH-L700A-Wireless-Noise-Cancelling-Headphones/dp/B08Q1L8CN2,AMZN-41
21%,9%,0%,9%,60%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/51ABriGxd7L.__AC_SX300_SY300_QL70_ML2_.jpg,26,https://www.amazon.com/SOUL-Ludacris-SL300JAM-Discontinued-Manufacturer/dp/B008BSIHOY,AMZN-42
4%,3%,10%,11%,72%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/61yHUZCOnbL.__AC_SY300_SX300_QL70_ML2_.jpg,258,https://www.amazon.com/Sony-MDR-1A-Headphone-International-Warranty/dp/B00NW353KE,AMZN-43
